X,Y,Z
-3.758735288,-9.218964113,7.535308611
-3.670512893,-9.218964113,6.171260311
-3.670512893,-10.1624006,6.064666992
-3.847001835,-10.1624006,4.713925897
-3.847001835,-10.18379727,5.038935286
-4.424329736,-10.18379727,3.788098755
-4.424329736,-10.56460581,4.591186414
-4.635133717,-10.56460581,3.316021327
-4.635133717,-10.03276018,4.387041828
-4.667831165,-10.03276018,3.205307475
-4.667831165,-9.887201242,5.005008254
-3.66578249,-9.887201242,5.262222132
-3.66578249,-9.537811807,6.97284004
-1.72096438,-9.537811807,8.554314594
-1.72096438,-8.276002601,9.539078857
-1.299154625,-8.276002601,9.834385343
-1.299154625,-8.036132831,10.22337296
-3.006020218,-8.036132831,8.634480796
-3.006020218,-8.967566049,8.748662331
-3.600435534,-8.967566049,6.640702554
-3.600435534,-10.02609017,6.400379188
-3.729867756,-10.02609017,5.16128228
-3.729867756,-10.17180535,5.57434365
-3.570926883,-10.17180535,5.687644524
-3.570926883,-9.702920089,7.323810753
-2.456734537,-9.702920089,8.849544283
-2.456734537,-8.241878968,10.52553786
-0.480356784,-8.241878968,10.91979952
-0.480356784,-6.994417409,12.1795903
-1.709030604,-6.994417409,10.47676466
-1.709030604,-7.59384935,11.54739901
-3.075296368,-7.59384935,9.085298703
-3.075296368,-8.494823301,9.66166908
-3.622081698,-8.494823301,7.341445152
-3.622081698,-9.537036266,7.285647866
-3.807722974,-9.537036266,5.711744493
-3.807722974,-10.13479764,5.740263253
-3.742005965,-10.13479764,4.704025199
-3.742005965,-10.09993939,5.45960854
-3.700780187,-10.09993939,5.577864991
-3.700780187,-9.69880476,7.273258506
-2.694631177,-9.69880476,8.553740616
-2.694631177,-8.169201783,10.47978624
-1.374563464,-8.169201783,10.45638433
-1.374563464,-7.008312284,12.16533933
-2.111060794,-7.008312284,10.22548535
-2.111060794,-7.693453086,11.52626413
-3.384413109,-7.693453086,9.038787512
-3.384413109,-8.612755596,9.675737514
-3.759871487,-8.612755596,7.249070456
-3.759871487,-9.620274124,7.260049896
-3.793720414,-9.620274124,5.789090506
-3.793720414,-10.06118707,5.971900364
-3.869556482,-10.06118707,4.967442312
-3.869556482,-10.14611497,5.691884998
-3.857025818,-10.14611497,5.439753451
-3.857025818,-9.757940571,6.925915234
-3.393010444,-9.757940571,7.424994156
-3.393010444,-8.617292754,9.526228901
-2.137178021,-8.617292754,9.648241467
-2.137178021,-7.57405653,11.13000153
-2.065086624,-7.57405653,9.748393148
-2.065086624,-7.68218,10.73118453
-3.367688135,-7.68218,8.405566
-3.367688135,-8.662943936,9.268749462
-3.748341132,-8.662943936,7.047347184
-3.748341132,-9.620587868,7.202484133
-3.722858725,-9.620587868,5.824618003
-3.722858725,-10.07234733,5.919251503
-3.758735288,-10.07234733,4.860097248
-3.758735288,-10.66501859,4.860097248
